"district","hour","resarea1","resarea2","resarea3"
"213","2pm",93.50547,6.49453,0
"214","2pm",100,0,0
"215","2pm",96.037101,1.958754,2.004144
"216","2pm",86.046817,10.554107,3.399076
"217","2pm",5.94612,94.05388,0
"218","2pm",13.725926,86.274074,0
"219","2pm",6.498655,93.501345,0
"220","2pm",13.759024,82.729353,3.511623
"221","2pm",13.256079,86.743921,0
"222","2pm",81.919566,18.080434,0
"223","2pm",11.057621,88.942379,0
"224","2pm",93.90353,2.885538,3.210932
"101","3pm",19.628832,22.689657,57.681511
"102","3pm",14.086193,15.02825,70.885557
"103","3pm",13.54788,14.37209,72.080031
"104","3pm",11.906335,22.261164,65.832501
"105","3pm",30.308444,18.187566,51.50399
"106","3pm",23.603738,15.165935,61.230327
"107","3pm",9.542282,9.694339,80.763379
"108","3pm",13.378856,8.010861,78.610283
"109","3pm",8.400079,76.786947,14.812974
"110","3pm",7.799322,71.966987,20.23369
"111","3pm",8.96467,86.641255,4.394075
"112","3pm",19.215834,47.917808,32.866357
"113","3pm",20.481687,71.792523,7.72579
"114","3pm",24.495945,66.370737,9.133318
"115","3pm",87.203738,7.683835,5.112427
"116","3pm",14.82174,73.523078,11.655182
"117","3pm",20.117335,73.153337,6.729328
"118","3pm",5.141615,89.061329,5.797057
"119","3pm",92.574294,7.425706,0
"120","3pm",89.552581,6.961,3.486419
"121","3pm",86.809703,9.425334,3.764963
"122","3pm",97.241498,2.758502,0
"123","3pm",96.179636,3.820364,0
"124","3pm",94.489045,5.510955,0
"125","3pm",91.999843,6.976762,1.023394
"126","3pm",82.39618,17.60382,0
"127","3pm",86.247919,8.766309,4.985772
"128","3pm",88.470168,4.270001,7.259831
"129","3pm",82.992803,4.517751,12.489446
"130","3pm",92.291058,7.708942,0
"131","3pm",91.811273,5.920884,2.267843
"132","3pm",94.015945,5.984055,0
"201","3pm",88.872158,3.724959,7.402882
"202","3pm",96.360057,2.011409,1.628534
"203","3pm",92.622572,3.830573,3.546855
"204","3pm",96.688635,3.311365,0
"205","3pm",100,0,0
"206","3pm",100,0,0
"207","3pm",98.417424,0,1.582576
"208","3pm",100,0,0
"209","3pm",95.530282,4.469718,0
"210","3pm",16.391244,78.959758,4.648998
"211","3pm",98.002689,1.997311,0
"212","3pm",91.890528,8.109472,0
"213","3pm",98.068749,1.931251,0
"214","3pm",97.053343,2.946657,0
"215","3pm",98.009381,1.990619,0
"216","3pm",86.410469,10.27378,3.315751
"217","3pm",9.236053,90.763947,0
"218","3pm",12.671574,87.328426,0
"219","3pm",4.562118,95.437882,0
"220","3pm",13.109582,84.107743,2.782675
"221","3pm",14.642695,85.357305,0
"222","3pm",82.355152,17.644848,0
"223","3pm",9.975896,90.024104,0
"224","3pm",93.510658,3.07149,3.417853
"101","4pm",17.492188,23.0203578,59.4874537
"102","4pm",11.591983,14.273897,74.1341198
"103","4pm",10.606283,13.497424,75.8962927
"104","4pm",7.863993,15.5225423,76.6134652
"105","4pm",28.010201,16.279199,55.7106005
"106","4pm",19.406119,13.1695124,67.4243685
"107","4pm",7.669908,6.417454,85.9126377
"108","4pm",8.760018,6.0879093,85.1520727
"109","4pm",7.700673,78.1831627,14.1161646
"110","4pm",7.173566,77.782662,15.0437721
"111","4pm",7.697476,87.7692409,4.5332827
"112","4pm",19.741408,50.2606766,29.9979153
"113","4pm",16.271752,77.8190745,5.9091735
"114","4pm",15.162628,76.6875226,8.1498491
"115","4pm",90.886303,4.9050734,4.2086233
"116","4pm",12.870535,77.843588,9.2858772
"117","4pm",18.378607,74.4117939,7.2095988
"118","4pm",2.972299,92.8395774,4.1881241
"119","4pm",89.817068,10.1829321,0
"120","4pm",91.944992,4.8221405,3.2328676
"121","4pm",86.680884,7.7151333,5.6039822
"122","4pm",98.317237,1.6827627,0
"123","4pm",96.212676,3.7873236,0
"124","4pm",97.861232,2.1387681,0
"125","4pm",94.07286,4.9865414,0.9405984
"126","4pm",83.776913,16.2230867,0
"127","4pm",85.282573,8.6004156,6.1170112
"128","4pm",90.505359,2.5069172,6.9877234
"129","4pm",84.812576,5.9089891,9.2784353
"130","4pm",98.720948,1.2790525,0
"131","4pm",92.10886,3.5942853,4.2968544
"132","4pm",97.66534,2.3346598,0
"201","4pm",92.417426,0,7.5825736
"202","4pm",100,0,0
