"district","hour","act1","act2","act3","act4","act5"
"008","11pm",4843.768,6.880352,0,0,34.40176
"009","11pm",4953.853,82.564224,0,0,96.32493
"010","11pm",4258.938,55.042816,0,0,82.56422
"011","11pm",4602.955,34.40176,0,6.880352,130.72669
"012","11pm",4664.879,20.641056,0,0,41.28211
"013","11pm",3433.296,20.641056,0,0,0
"014","11pm",5063.939,137.60704,0,0,116.96598
"015","11pm",4816.246,6.880352,0,0,61.92317
"016","11pm",4713.041,27.521408,0,0,34.40176
"017","11pm",4231.416,0,0,0,0
"018","11pm",4823.127,61.923168,6.880352,0,55.04282
"019","11pm",4444.707,48.162464,0,0,41.28211
"020","11pm",4781.845,41.282112,0,0,55.04282
"021","11pm",4430.947,6.880352,0,0,41.28211
"001","12pm",4465.348,89.444576,34.40176,0,110.085632
"002","12pm",4135.092,41.282112,0,0,13.760704
"003","12pm",4176.374,61.923168,0,0,6.880352
"004","12pm",4823.127,13.760704,0,0,34.40176
"005","12pm",3887.399,41.282112,0,0,55.042816
"006","12pm",4609.836,89.444576,0,0,41.282112
"007","12pm",4609.836,6.880352,0,0,20.641056
"008","12pm",4857.529,6.880352,0,0,34.40176
"009","12pm",4960.734,75.683872,0,0,61.923168
"010","12pm",4272.699,48.162464,0,0,75.683872
"011","12pm",4630.477,27.521408,0,6.880352,89.444576
"012","12pm",4692.4,20.641056,0,0,27.521408
"013","12pm",3453.937,20.641056,0,0,0
"014","12pm",5077.7,137.60704,0,0,116.965984
"015","12pm",4830.007,6.880352,0,0,48.162464
"016","12pm",4726.802,20.641056,0,0,20.641056
"017","12pm",4258.938,0,0,0,0
"018","12pm",4843.768,61.923168,6.880352,0,41.282112
"019","12pm",4451.588,34.40176,0,0,20.641056
"020","12pm",4795.605,41.282112,0,0,48.162464
"021","12pm",4444.707,6.880352,0,0,27.521408
"001","1am",4465.348,89.444576,34.40176,0,96.324928
"002","1am",4135.092,41.282112,0,0,13.760704
"003","1am",4176.374,61.923168,0,0,6.880352
"004","1am",4823.127,13.760704,0,0,34.40176
"005","1am",3894.279,55.042816,0,0,48.162464
"006","1am",4609.836,82.564224,0,0,34.40176
"007","1am",4609.836,6.880352,0,0,20.641056
"008","1am",4864.409,6.880352,0,0,34.40176
"009","1am",4967.614,61.923168,0,0,48.162464
"010","1am",4286.459,48.162464,0,0,61.923168
"011","1am",4644.238,27.521408,0,6.880352,89.444576
"012","1am",4699.28,20.641056,0,0,27.521408
"013","1am",3460.817,20.641056,0,0,0
"014","1am",5084.58,130.726688,0,0,110.085632
"015","1am",4830.007,6.880352,0,0,41.282112
"016","1am",4733.682,13.760704,0,0,20.641056
"017","1am",4265.818,0,0,0,0
"018","1am",4864.409,55.042816,6.880352,0,41.282112
"019","1am",4458.468,34.40176,0,0,13.760704
"020","1am",4802.486,41.282112,0,0,48.162464
"021","1am",4444.707,6.880352,0,0,27.521408
